name,description,instructors,year
Build Surgical and Medical Robotics With NVIDIA Isaac for Healthcare: From Simulation to Deployment,"Gain hands-on experience in setting up simulation environments, generating and converting synthetic medical data, modifying scenes and assets, collecting and curating datasets via state-machine demonstrations, fine-tuning the GR00T N1 Vision-Language-Action (VLA) model, and testing robotic ultrasound tasks in simulation. We emphasize safe, efficient AI model development and deployment for healthcare applications.
 
Prerequisite(s):

IsaacSim and IsaacLab foundational experience.

Python and terminal experience.

General understanding of deep learning, and vision language action models.

Key takeaways:
• Modify a robotic arm to hold a medical or surgical tool.
• Generate synthetic patient data using MAISI CT.
• Fine-tune GR00T N1, a vison-language-action model.
• Deploy GR00T N1 to autonomously perform a medical procedure.",Maximilian Ofir,2026
Accelerated Omics and Single-cell Analysis Using NVIDIA GPUs,"The explosion of biological data generation and innovations in AI have opened new frontiers in scientific discovery and biomedicine. With the ability to process vast amounts of biological data, accelerated analysis and foundation model approaches are transforming digital biology. This workshop provides hands-on experience for how accelerated libraries and deep learning models can be leveraged to process and analyze complex biological data. Gain an understanding of the end-to-end process, from how NVIDIA libraries support data generation, pre-processing, and analysis of single-cell data, to how foundation models are being used and evaluated in the life sciences. Get an overview of relevant solutions in digital biology, such as Parabricks, RAPIDS-singlecell (developed by scverse), NVIDIA CUDA-X Data Science Libraries, and Clara Open Models. 
 
Prerequisite(s):

Basic familiarity with Python, Jupyter, and Bioinformatics workflows.

Key takeaways:
• Understand how NVIDIA is powering genomics innovation through data generation, accelerated data science, and foundation model development.
• Gain practical experience in preparing and analyzing omics data, including single cell, to drive downstream workflows.
• Learn to leverage NVIDIA's accelerated software platforms, including RAPIDS, Parabricks, and Clara Open Models to apply and evaluate scalable, high-performance models and uncover biological insights.
• Learn about how NVIDIA accelerated computing tools are being used in agentic workflows.",Gary Burnett // Severin Dicks // T.J. Chen,2026
Split and Win: Dynamo's Prefill-Decode Disaggregation and Smart KV Routing for Extreme LLM Throughput,"Master the deployment of massive mixture-of-expert architectures by configuring Dynamo’s PD Disaggregation with Large Expert Parallelism to maximize GPU efficiency. Learn to optimize distributed data flows including KV Cache Aware Routing to achieve an order-of-magnitude increase in serving throughput while meeting strict production latency demands.
 
Prerequisite(s):

Familiarity with LLM inference pipelines (prefill-decode, kv-cache, etc) and compilers including TensorRT-LLM, vLLM, or SGLang

Key takeaways:
• Configure Dynamo to efficiently orchestrate models across diverse inference backends, including vLLM and SGLang.
• Integrate Prefill/Decode (PD) Disaggregation to independently scale computational phases and maximize GPU utilization.
• Deploy Smart KV Cache Aware Routing to eliminate redundant computation and optimize utilization.",Arun Raman // Kyle Huang // Utkarsh Uppal,2026
Unlock Real-Time Financial Decisions With GPU-Accelerated Portfolio Optimization,"Discover how to resolve the trade-off between computational speed and model complexity in financial portfolio management. This session combines NVIDIA’s Quantitative Portfolio Optimization developer example with exclusive insights from Kendall Square Capital, demonstrating how to accelerate large-scale, complex portfolio optimization problems without compromising result quality.

Learn how to formulate data-driven models to leverage cuOpt and CUDA-X Data Science libraries to unlock accelerations up to triple-digit speed-ups compared to CPU-based solutions. Gain insights into how these innovations transform portfolio optimization from a slow batch process into a dynamic workflow, unlocking new frontiers in automated investing research and real-time rebalancing.
 
Prerequisite(s):

Python programming, basic knowledge of numerical optimization

Key takeaways:
• GPU-Accelerated Libraries: Learn how NVIDIA cuOpt and the CUDA-X Data Science libraries accelerate each component of the portfolio optimization pipeline.
• Customer Spotlight – Kendall Square Capital & cuFolio: Hear how Kendall Square Capital uses cuFolio to accelerate large, complex optimization problems, ensuring zero compromise on solution quality while drastically reducing compute time.
• Backtesting at Scale: Discover how GPU acceleration enables near real-time strategy backtesting, allowing quant researchers and traders to iterate on strategies in minutes, rather than days.
• Advanced Risk Modeling: Dive into the mathematical foundations of portfolio optimization, focusing on Conditional Value at Risk (CVaR) risk measure to better capture tail-risk scenarios, and learn how to transform it into a computationally tractable formulation.
• Performance Benchmarking: Review benchmark results across NVIDIA H100, H200, B200, RTX 6000D, and DGX Sparks to understand how performance scales across varying problem sizes and GPU architectures.",Peihan Huo // Ioana Boier // Jake Goldberg // Jianchi Chen <>,2026
Deploy and Optimize LLMs and VLMs on NVIDIA Jetson Thor,"Learn to deploy, optimize, and accelerate large language models (LLMs) and vision-language models (VLMs) on NVIDIA Jetson Thor through hands-on exercises with real hardware. We'll demonstrate production-ready inference frameworks including vLLM and SGLang, apply NVIDIA ModelOpt for quantization, showcase systematic methods to achieve inference performance improvements, and explore advanced capabilities like tool calling and live VLM inference — all running on edge devices you can touch and interact with.
 
Prerequisite(s):
Required:

Basic understanding of Large Language Models and transformer architectures

Familiarity with Python programming and container technologies (Docker)

Experience with command-line interfaces and SSH for remote device access

Laptop with network connectivity (Ethernet preferred, WiFi acceptable)

Recommended:

Prior exposure to PyTorch or inference frameworks
Basic understanding of model quantization concepts
Familiarity with REST APIs and web services

Key takeaways:
• Deploy and run state-of-the-art LLMs and VLMs on NVIDIA Jetson Thor using production-ready containers (vLLM, SGLang).
• Apply NVIDIA ModelOpt to quantize models and measure real-world performance improvements on edge hardware.
• Compare inference frameworks hands-on: benchmark speed differences from llama.cpp to vLLM/SGLang on actual Jetson Thor devices.
• Experience VLMs running on edge hardware through Live VLM WebUI with real-time visual question-answering and multi-modal interactions.
• Implement tool calling and function calling with Nemotron models to enable agentic AI capabilities on edge devices.",Chitoku Yato NV Aditya Sahu // Khalil Ben Khaled,2026
Find the Bottleneck: Optimize AI Pipelines With Nsight Systems,"Learn about using NVIDIA Nsight Systems for bottleneck detection in AI pipelines and explore new features to optimize and scale the execution of your applications. This lab will guide you through the performance analysis process of GPU-accelerated AI applications that run across multiple, possibly containerized, compute instances. 

In addition to profiling of CPU, GPU, network and I/O activity, we'll show how NVTX and plugin mechanisms enable the collection of custom data to support an even more comprehensive and tailored analysis on the target platform. We'll also show how the recipe system can be used to identify bottlenecks in applications running across multiple nodes. 

This lab is for both beginners and experienced developers who want to learn about the latest features, tips, and tricks for performance analysis to get the most out of their hardware. 
 
Prerequisite(s):

Familiarity with GPUs and CUDA
Up to date Chrome or IE browser

Key takeaways:
• Learn how to detect bottlenecks in AI applications.
• Dive into the analysis of reports from multi-node application runs.
• Explore new features of Nsight Systems, such as plugins.",Sneha Kottapalli,2026
Build End-to-End Medical AI Workflows With NVIDIA MedTech Open Models and NeMo Data Designer.,"This lab provides a hands-on deep dive into medical AI workflows for both clinical text and imaging, with a focus on building a synthetic patient record to address data scarcity and privacy challenges in healthcare.

You will first employ NeMo Data Designer to generate synthetic electronic health records (EHR), including patient visits, doctor notes, and follow-up reports. From there, you will use NVIDIA open models to handle segmentation, reasoning, and synthetic image generation for CT, MR, and X-ray data.

The lab provides an interactive viewer for immediate clinical validation and hands-on notebooks for deep technical customization. Whether you are exploring the provided samples or uploading your own images, we also provide ways to download sample data from the NIH to test on real-world data.

Each model contributes a different piece of the synthetic patient record, and by the end of the lab, you will understand how these tools fit together and be ready to explore the growing landscape of NVIDIA MedTech open models

Key takeaways:
• Learn to use NeMo Data Designer to generate synthetic EHR data, including patient visits, patient conversations, doctor notes, and follow-up reports.
• Learn to use NV-Generate to create synthetic CT and MR volumes for data augmentation, education, and rare disease simulation, and convert images to USD for use in Simulation Environments.
• Learn to use NV-Segment to identify 345+ anatomical structures in 3D CT and MR scans, with automatic detection and interactive refinement
• Learn to use NV-Reason to ask questions about chest X-rays and get a chain-of-thought, interpretable medical analysis.
• Understand how NVIDIA's expanding portfolio of MedTech Open Models can be assembled into workflows for your own use cases.",Ahmed Harouni,2026
"Advancing Multimodal Systems: Alignment, Information Typology, Reasoning, and Cross-Modal Flow","This lab explores key principles for advancing multi-modal systems, focusing on multi-modal information typology, alignment, multi-step reasoning, and cross-modal flow. We analyze redundant, unique, and synergistic information, and examine multi-modal alignment through coarse-grained versus fine-grained behavior. The lab then investigates multi-step multi-modality reasoning with external knowledge, where agents integrate images, text, tables, and diagrams to solve complex tasks. Finally, we study multi-modal information flow through cross-modal translation, cross-modal editing, and cross-modal querying, supported by NIM examples for text-to-image generation, semantic image editing, and visual question-answering.
 
Prerequisite(s):

Basic understanding of machine learning and deep learning concepts, including embeddings and neural network architectures.

Familiarity with multimodal AI concepts, such as combining text, image, and other data modalities.

Experience with Python programming and standard ML libraries (e.g., PyTorch, TensorFlow).

Basic knowledge of data visualization techniques (e.g., PCA, t-SNE) for interpreting embeddings.

Key takeaways:
• Understand the different types of multi-modal information (redundant, unique, and synergistic) and how they influence model representations.
• Learn the distinction between coarse-grained and fine-grained multi-modal alignment and how it affects model understanding and generation.
• Gain hands-on experience with multi-step multi-modal reasoning using external knowledge sources, integrating text, images, and structured data.
• Explore cross-modal information flow, including translation, semantic editing, and querying across modalities.
• Discover practical applications of NIM models for tasks such as text-to-image generation, image-conditioned editing, and visual question-answering.",Andrea Pilzer // Mireille Fares // Karin Sevegnani,2026
Build Domain AI Agents that Accurately Use Tools with Reinforcement Learning,"In this hands-on lab, we will create adaptive, tool-using AI agents that learn through trial, error, and feedback, moving beyond static prompting. We’ll work with NVIDIA NeMo Gym and NeMo RL open libraries, and post-train Nemotron open models to build domain-specific agents capable of mastering complex workflows and tool-use using reinforcement learning (RL).
 
As a practical and engaging challenge, we’ll build and train an agent to play a “Wordle” game. While the game is lighthearted, attendees experience the same enterprise-grade stack and development patterns that can scale to real-world applications such as autonomous coding, applied reasoning, scientific discovery, and to any custom use case.
Together, we’ll walk through the full RL lifecycle - from building custom simulations/ RL environments and designing verifiable rewards to iterative training and performance evaluation - developing the foundations needed to build high-performance, domain AI agents that continually learn and adapt.
 
Prerequisite(s):

Basic experience with Python

A general understanding of LLMs or agent workflows or Generative AI concepts (no deep ML background required)

Familiarity with REST APIs or function-calling concepts is helpful but not mandatory

Optional but beneficial: Exposure to NVIDIA NeMo, containerized development (Docker), or cloud workflows

No prior experience with Nemotron models or NeMo is required.

Key takeaways:
• Design tool-using agents by simulating real-world scenarios with complex tool-use patterns in custom RL environments built with NeMo Gym.
• Execute reinforcement learning runs using NeMo RL to train an agent from simulation trajectory data generated within these environments.
• Build domain agents with open models and tools powered by Nemotron open models and the NeMo software toolkit, experiencing an open, enterprise-grade stack for agentic AI.
• Learn the data flywheel design by observing how agent interactions and rewards can be reused as data to iteratively improve performance, mirroring real-world production loops.",Shashank Verma // Yang Yu,2026
Hands-On NVIDIA DGX Spark (Sponsored by GCL),"NVIDIA is teaming up with GCL for a hands-on lab on NVIDIA DGX Spark. In this lab, you will build an AI agent using the latest open-source NVIDIA and community model, and explore enhancing and extending the agent abilities.

Key takeaways:
• Working understanding of agentic AI development
• The power of open-source models for local AI agents
• Benefits of DGX Spark for local AI development",Piyush Medikeri,2026
Generate Synthetic Data for Physical AI with NVIDIA Cosmos World Foundation Models,"This hands-on lab introduces roboticists, AI developers, and pipeline engineers to NVIDIA Cosmos world foundation models (WFMs) for synthetic data generation in robot learning pipelines. Participants will learn how to leverage simulation scenes from Isaac Sim and real-life images and videos to provide initial datasets and augment them with Cosmos Transfer, then evaluate data quality with Cosmos Reason—all within a production-ready robotics pipeline.

Through this session, you'll experience an end-to-end data pipeline workflow, leveraging Cosmos WFMs to generate synthetic data from real-world and physically-accurate simulated data, and using Cosmos Reason as an intelligent critic to validate data quality. 

By completing this lab, you'll unlock the ability to generate high-quality training datasets, accelerating your action model development.

 
Prerequisite(s):

Familiarity with robotics simulation concepts (what is synthetic data, why it matters)
Basic Python scripting experience (reading/writing scripts, understanding function calls)
Understanding of machine learning fundamentals (training, fine-tuning, evaluation)
Familiarity with Cosmos (recommended course: An Introduction to NVIDIA Cosmos for Physical AI)

Key takeaways:
• Capture diverse synthetic robot training data using Isaac Sim and Omniverse RTX libraries.
• Generate synthetic datasets using Cosmos Transfer to create variations with structural and visual consistency.
• Evaluate synthetic data quality using Cosmos Reason to validate usability for downstream model training.
• Integrate Cosmos world models into production robotics pipelines for continuous data generation.",Stefanie Manzinger // Alexander Schwarz,2026
Develop AI-Powered Operational Dashboards for Digital Twin Applications,"Create intelligent operational dashboards for digital twin applications using NVIDIA Omniverse. Build compact, real-time monitoring interfaces with React to track factory metrics, robot states, and sensor data streams. Embed custom panels into Kit applications and deploy dashboards across local and cloud environments. Learn to integrate LLM agents for natural language interaction with your digital twin data. Through hands-on exercises, learn the workflow for dashboard creation for streaming deployment, enabling intelligent monitoring and control of complex industrial operations.
 
Prerequisite(s):

Familiarity with REST APIs, data streaming, and real-time visualization concepts
Basic understanding of factory operations, IoT metrics, and monitoring workflows
Experience with Python scripting for backend integration and automation
Knowledge of LLM concepts and natural language processing

Key takeaways:
• Build compact, real-time dashboards using React to visualize live factory metrics.
• Embed custom monitoring panels into Kit applications for real-time tracking of robots, sensors, and simulation states.
• Deploy and stream dashboards in a cloud environment that communicated with a digital twin.
• Integrate LLM agents to enable natural language interaction with digital twin dashboards.",Justine Lin // Ashley Goldstein,2026
How to Accelerate AI Workflows With NVIDIA Run:ai,"Unlock faster, smarter AI development in this hands-on introduction to the NVIDIA Run:ai platform. In this lab, you’ll explore how Run:ai streamlines machine learning operations, removes infrastructure bottlenecks, and simplifies workload management to accelerate outcomes. Learn how dynamic resource allocation transforms efficiency across enterprise teams, ensuring workloads run faster, smoother, and at scale. Then apply what you learn directly in your lab environment as instructors guide you through real-world examples of accelerated ML operations. You’ll leave with practical skills and a strong foundation for optimizing performance with Run:ai.
 
Prerequisite(s):

Basic understanding of machine learning workflows and terminology.
General familiarity with containerized environments (Docker or Kubernetes preferred).
No prior Run:ai experience required.

Key takeaways:
• Understand how Run:ai speeds up AI and ML workflows across the development life cycle.
• See how dynamic resource allocation increases throughput, utilization, and team efficiency.
• Gain hands-on experience running accelerated ML operations in a live lab environment.",David Whitehouse,2026
Harness NVIDIA AI Advanced Tools for Generative AI in Digital Health,"Explore the NVIDIA Data Flywheel, which uses agent deployment artifacts from production applications to increase the overall accuracy and reduce the latency/cost of agentic AI systems. We'll explore how to utilize the NeMo Microservices Platform for programmatic control of datasets, fine-tuning, evaluation, and inference. 
 
Prerequisite(s):

Familiarity with Python, basic understanding of how agentic systems work, hands-on knowledge is encouraged but not required.

Key takeaways:
• After we've designed and deployed a healthcare agentic AI system, we can continuously optimize it.
• NVIDIA Data Flywheel can help us optimize our healthcare AI systems and AI agents.
• Different parts of the NeMo Microservices Platform help us achieve different tasks in the optimization for datasets, fine-tuning, evaluation, and inference.",Abood Quraini // Ben Randoing // Jin Li (Worldwide Field Ops),2026
MLOps Best Practices: Build an AI Agent,"Learn practical ways to implement MLOps first principles as you create autonomous AI agents using LangGraph and NVIDIA NIM by building an agentic system that demonstrates tool integration, multi-step reasoning, and adaptive planning. Master the foundational agent architecture that MLOps engineers use to automate tedious workflows like incident investigation, experiment documentation, and model health monitoring — then customize it for your own use cases.
 
Prerequisite(s):

Basic programming knowledge

Key takeaways:
• Understanding of the four core components of any AI agent (directly applicable to MLOps automation)
• A working foundational agent that demonstrates tool use, planning, and reasoning
• Knowledge of how to build agents using LangGraph and NVIDIA NIM
• A turnkey, portable development environment ready for customization
• Your own customized agent ready to share as a launchable (adapt it for MLflow documentation, model cards, incident reports, etc.)",Edward Li,2026
Building and Testing Multi‑Robot Scenarios with Isaac Sim and ROS 2,"Gain practical experience in orchestrating multi-robot collaboration, automating simulation workflows, and executing autonomous navigation and object manipulation tasks in a test scenario, using ROS 2, Simulation Interfaces, and Isaac Sim. These skills will empower you to deploy and test advanced robotics solutions.
 
Prerequisite(s):

Basic understanding of ROS (Robot Operating System).
Intermediate experience with Python, including working with packages, virtual environments, and basic scripting.
Familiarity with 3D content concepts such as meshes, materials, transforms, and scene hierarchies from tools like Blender, Maya, or similar DCC applications.
Understand command-line usage for running scripts and managing project files.
Have familiarity with robotics or simulation workflows (for example, using simulation tools or working with physics-enabled assets).

Key takeaways:
• Set up Isaac Sim to run with simulation interfaces and the ROS 2 bridge.
• Configure Isaac Sim ROS 2 Action Graphs and sensor integrations.
• Deploy and control multiple robots in a simulated warehouse and orchestrate autonomous navigation.
• Learn how to use Simulation Interfaces to control Isaac Sim from ROS.",Ayush Ghosh // Rishabh Chadha,2026
Optimize PyTorch Models for High-Performance Inference with Nsight Deep Learning Designer,"Learn how to use a graphical user interface-based integrated development environment (IDE) purpose-built for deep neural network developers to manage the end-to-end process of going from PyTorch to a deployment-ready model that yields the best inference performance. Learn how to use a GPU-based performance profiler to guide sound decision-making for model optimizations.
 
Prerequisite(s):

The core concepts of PyTorch and Deep Learning are needed to get through this course.

Key takeaways:
• Explore a new workflow for optimizing deep neural network models in PyTorch that leverages GPU hardware performance data.
• Learn to graphically edit deep neural network models using the Nsight DL Designer IDE.
• Learn to deploy ONNX models directly to TensorRT and ONNX Runtime from within Nsight DL Designer.",Manoj Kumar Yennapureddy,2026
Efficient Workload Management for AI Factories: What Every Admin Needs to Know,"In this hands-on lab you'll learn, as an AI factory administrator, how real workloads are run on a cluster. Intended for IT types (not data scientists!), this lab will have you configuring Run:ai, allocating and monitoring resources, and building a workload with NVIDIA NIMS to understand just what the user experience is, and what tools are at your disposal to make the AI factory workloads actually work.
 
Prerequisite(s):

To be successful, participants should have an understanding of AI clusters, Linux, and containers.
Bring a laptop as this session is very interactive!

Key takeaways:
• Learn how NVIDIA Mission Control, including Run:ai, can be used to increase cluster utilization.
• Configure data sources, projects, and environments in Run:ai for efficient resource consumption.
• Experience depoying a NIM using Run:ai to understand how users would interact with an AI factory.",Max Steele // Terrell Bennett,2026
Scaling Robotic AI Development from Prototype to Production,"In this hands-on lab, General Robotics will guide you through a complete, end-to-end solution development workflow built on the NVIDIA ecosystem. You'll learn to:

Capture teleoperated demonstrations of real manual tasks
Augment, vary, and scale those tasks in simulation using NVIDIA Isaac
Generate high-volume synthetic datasets to expand coverage
Fine-tune modern robotics models using NVIDIA’s training infrastructure
Test policies and reinforcement learning models in advanced simulation, leveraging NVIDIA AI models like GraspGen, CuMotion, and Foundation Stereo
Deploy learned behaviors to real robots running on Jetson
Analyze system performance and iterate using the latest LLMs and agentic tools
Bridge the human–robot gap across development, validation, and deployment

Prerequisite(s):

Enthusiasm to learn the latest techniques in AI and robotics.

Key takeaways:
• Learn how to simulate and deploy learned AI behaviors to real robots.
• Access the latest and greatest AI models from NVIDIA and across the industry.
• Accelerate your robotics automation development journey with GRID from General Robotics.",,2026
Always-On Autonomous AI Agents: Exploring the OpenClaw Abstraction,,Kevin Lee (Developer Programs) // Vadim Kudlay,2026
High-Performance LLM Serving and Training with SGLang,"This training lab shows you how to optimize and scale LLM workflows with SGLang. We walk through practical performance tuning using the SGL-Cookbook, dive into profiling and bottleneck analysis for developers, and demonstrate its deep integration into reinforcement learning (RL) training frameworks by showing how to use SGLang in a real RL run with the Miles RL framework.
 
Prerequisite(s):

Comfortable with Python and command-line workflows
Curious about how LLM systems are optimized and scaled in practice
No prior experience with SGLang, performance tuning, or RL training is required

Key takeaways:
• Learn how to tune and scale LLM inference with SGLang, including how to select and combine configurations for better latency and throughput.
• Gain hands-on experience profiling LLM workloads and identifying performance bottlenecks with developer-oriented tools and workflows.
• See how SGLang integrates into RL training frameworks by running a real RL job with the Miles RL framework.",Baizhou Zhang <> // Qiaolin Yu <> // Yueming Yuan <>,2026
Accelerate Robot Learning With NVIDIA Isaac Lab and Newton,"This hands-on lab introduces Newton, a GPU-accelerated physics engine. Then we'll integrate Newton with Isaac Lab, showing how they can work together in robot-learning workflows. You'll configure tasks to run on Newton, and train and evaluate policies in Isaac Lab with Newton providing high-fidelity, high-throughput physics. You'll leave knowing how to use Newton for more realistic robotics simulation.
Prerequisite(s):

Intermediate experience with Python, including working with packages, virtual environments, and basic scripting.
Familiarity with 3D content concepts such as meshes, materials, transforms, and scene hierarchies from tools like Blender, Maya, or similar DCC applications.
Understand command-line usage for running scripts and managing project files.
Have familiarity with robotics or simulation workflows (for example, using simulation tools or working with physics-enabled assets).

Key takeaways:
• Explain Newton’s role and benefits for modern robotics and robot learning workflows.
• Design Newton-based simulations, highlighting its architecture and rich import pipeline.
• Optimize Newton solver, contact, and friction settings for robust robot behaviors.
• Implement Isaac Lab training that uses Newton as the physics engine.",Akul Santhosh // Eric Heiden // Mohammad Mohajerani,2026
Advanced Workload Orchestration With NVIDIA Run:ai,"NVIDIA Run:ai is a comprehensive platform that brings advanced, AI-native scheduling and resource management to GPU infrastructure, enabling enterprises to accelerate and scale AI operations efficiently, reduce costs, and accelerate innovation. In this lab, you will learn the basics of NVIDIA Run:ai and how to create AI workloads. Designed for AI practitioners, this lab guides you through the practical steps of creating, launching, and monitoring interactive, inference, and training workloads using NVIDIA Run:ai.
 
Prerequisite(s):

Familiarity with the NVIDIA Run:ai platform
Familiarity with containerized environments (e.g., Docker)
General knowledge of AI/ML workflows
Experience working with machine learning libraries and tools, such as PyTorch and Jupyter Lab

Key takeaways:
• Understand NVIDIA Run:ai workload types (Workspace, Training, Inference) and their appropriate use cases.
• Submit and manage workloads through the Run:ai UI.
• Set up and customize working environments for development, training, and inference.
• Monitor workloads using dashboards, metrics, logs, and event history.",Juan Delgado,2026
Ultra Scale Runbook for PyTorch on NVIDIA GPUs for Training and Inference,"In this lab, we'll walk through large-scale training and deployment of a well-known mixture-of-experts (MoE) LLM. You'll learn how to scale MoE pre-training by composing several parallelism techniques (FSDP, Tensor Parallel, Pipeline Parallel), memory saving techniques (Activation Checkpointing, CPU Offloading), and torch.compile driven optimizations. We'll use TorchTitan as our pre-training framework.

We'll also demonstrate how to deploy such a model using the vLLM framework. You'll learn how to apply CUDA-accelerated inference-specific optimizations available in vLLM.
 
Prerequisite(s):

Knowledge of PyTorch concepts and modules.
Knowledge of MoE LLM models like DeepSeek-V3 or LLAMA4-Scout.
Knowledge of system concepts like docker, CUDA, distributed processes.

Key takeaways:
• TorchTitan demonstrates how PyTorch optimizations compose with each other for pre-training at scale.
• Fully Sharded Data Parallelism (FSDP) can be used to train billion-parameter models over a large number of GPUs.
• Different forms of parallelism (Tensor parallel, expert parallel, pipeline parallel, etc.), and memory-saving techniques like activation checkpointing can be composed together for scaling pre-training to 1,000+ GPUs.
• Torch.compile-based workflows can generate fast kernels and optimize a distributed model.
• Custom kernels (through FlashInfer, OAI Triton, CUTLASS) in vLLM enable high-throughput and memory-efficient inference for LLMs.",Syed Ahmed // Tianyu Liu <> // Lu Fang <>,2026
Accelerate Apache Spark With GPU and AI: A Hands-On Workshop,"In this training lab, we'll introduce Project Aether — a set of automation and AI tools that speed up and reduce the cost of accelerated extract, transform, load and analytics workloads on the RAPIDS Accelerator for Apache Spark, built on NVIDIA cuDF. Aether combines automation along with advanced AI tools to automatically test and optimize your Apache Spark workloads with GPU.
 
Prerequisite(s):

Some experience with Linux and the command line needed.
An understanding of large-scale analytics and Apache Spark is not required, but would be helpful.

Key takeaways:
• Introduce the RAPIDS Accelerator for Apache Spark — leveraging GPUs for dramatically speeding up the distributed big data processing framework of Apache Spark while reducing total cost.
• Introduce Project Aether with hands-on experience to automate migrating a Spark job from the CPU to the GPU with the RAPIDS Accelerator.
• Use AI-based config tuning models to predict optimized Spark configurations for your workloads.
• Use the Project Aether Assistant to rewrite user-defined functions, which are typically slow and hard to manually optimize into GPU accelerated versions to ensure maximum speed-up and cost savings.",Hirakendu Das // Navin Kumar // Rishi Chandra,2026
Accelerating LLM Training and Inferencing With Reduced Precision Format,"Large-scale LLMs require enormous computational resources, making efficiency crucial for training. Learn how cutting-edge reduced-precision formats such as FP8, MXFP4 and NVFP4 can dramatically accelerate pre-training, post-training, and inference while maintaining accuracy close to full-precision baseline models. You’ll learn how NVIDIA's innovative NVFP4 format better captures dynamic range and reduces quantization error compared to MXFP4. We'll cover techniques including Random Hadamard Transforms, two-dimensional block quantization, stochastic rounding, and strategic placement of higher-precision layers to stabilize training. 
Gain practical skills with the software tools necessary for quantization-aware training and efficient inference deployment, helping your applications retain accuracy while benefiting from reduced precision.
 
Prerequisite(s):

Understanding of LLM training and inference
Basic understandings of reduced precision formats
Python, docker and shell scripting skills

Key takeaways:
• Large-scale LLMs require tens to hundreds of petaflops for training, making computational efficiency critical.
• Reduced-precision formats like FP8 and NVFP4 enable faster pre-training, post-training, and inference while maintaining full-precision accuracy.
• Learn training techniques that enable stable low-bit training.
• Gain hands-on experience with quantization-aware training and deploying efficient inference pipelines that preserve model accuracy.
• Understand the principle of reduced precision formats and their necessity.",Leo Du // Oleg Rybakov // Sergio Perez,2026
Teach AI to Code in Every Language With NVIDIA NeMo,"“Teaching AI to Code in Every Language with NVIDIA NeMo” is a hands-on training lab for machine learning practitioners, data scientists, and developers who want to build state-of-the-art coding language models on NVIDIA’s platform. Participants will learn how to use NVIDIA NeMo and NVIDIA GPU-accelerated infrastructure to train multilingual LLMs for code, from dataset preparation and cleaning to large-scale distributed training and optimization. The session will cover key challenges of multilingual code modeling, such as balancing languages, handling noisy repositories, and designing evaluation strategies that reflect real-world developer workflows. Attendees will implement practical techniques for scaling training across large compute environments, apply best practices for performance tuning, and explore how these models can power developer assistants, code review tools, and enterprise codebase management solutions. By the end of the lab, participants will have a clear roadmap to experiment with, train, and deploy advanced multilingual coding LLMs using NVIDIA’s end-to-end ecosystem.

Key takeaways:
• A practical understanding of how to use NVIDIA NeMo and NVIDIA infrastructure to train state-of-the-art coding LLMs
• Insights into dataset preparation, multilingual training challenges, and strategies to overcome them
• Knowledge of optimization techniques and best practices for scaling training across large compute environments
• Awareness of real-world applications for multilingual coding LLMs, from developer assistance to enterprise codebase management
• A clear roadmap for experimenting with and deploying advanced coding LLMs using NVIDIA’s technology stack",Miguel MartínezMeriem Bendris,2026
Adding Safety and Perception to Industrial Robots,"Learn to implement functional safety for robots using an ""outside-in"" approach. You will gain deep insight into building collaborative, AI-powered factory environments where vision systems and robotics converge to deliver operational intelligence and safety.
We will connect industrial robots to factory-wide sensor infrastructure using NVIDIA Metropolis to build intelligent systems dedicated to robot safety. Through practical exercises, you will create a video analytics AI agent that extends a robot's real-time perception. 

This agent will enable critical safety features, such as automatic speed adjustments (slowing down or speeding up) and risk mitigation, essential for safe co-bot environments. This lab showcases how NVIDIA Halos for Outside-In Safety Agents, powered by NVIDIA Metropolis technology, enable an outside-in approach to achieving advanced functional safety.
 
Prerequisite(s):

Intermediate experience with Python, including packages, virtual environments, and scripting

Familiarity with computer vision concepts, object detection, and AI inference pipelines

Experience with robotics workflows and sensor integration

Knowledge of data streaming, real-time analytics, and message-passing architectures

Key takeaways:
• Build an outside-in safety application for robots using NVIDIA Metropolis vision AI-based workflows to integrate sensors, AI inference, and real-time dashboards to optimize robot perception and responsiveness.
• Implement a safety AI agent with NVIDIA Halos that enables factory sensors and robot sensors to safeguard workers, robots, and warehouse assets.
• Deploy and scale robot safety applications across factory environments for comprehensive proactive responses for factory robots leveraging existing camera infrastructure.",Edward Chan // Sammy Ochoa,2026
